	pielou_evenness
SRR32035653	0.6581597660021519
SRR32035654	0.7147168018573345
SRR32035655	0.7197104551373097
SRR32035656	0.6491763033264091
SRR32035657	0.7278462772873092
SRR32035658	0.5742125784141531
SRR32035659	0.6250912747480314
SRR32035660	0.7254864249682575
SRR32035662	0.7223038268782855
SRR32035663	0.75324476299733
SRR32035664	0.8725476083251377
SRR32035665	0.7757822306739572
SRR32035666	0.5481779551458449
SRR32035667	0.49437465956105564
SRR32035668	0.6779050317761534
SRR32035671	0.8270409161912727
SRR32035672	0.8114942720530891
SRR32035675	0.8109854343075158
SRR32035676	0.6397796651327786
SRR32035677	0.805596676408528
SRR32035680	0.7281896189935785
SRR32035682	0.8431753700774638
SRR32035683	0.5147370294110084
SRR32035684	0.857530279623461
SRR32035685	0.7347267471136473
SRR32035686	0.6559021041308819
SRR32035687	0.5348800253607277
SRR32035689	0.8041783161591437
SRR32035690	0.8512019862664265
SRR32035692	0.8548922047325209
SRR32035696	0.392892197467539
SRR32035697	0.7922708716890338
SRR32035698	0.5124539201664593
SRR32035700	0.8574153951810075
SRR32035703	0.7220747904015922
SRR32035704	0.2771125220902976
SRR32035705	0.504582112170711
SRR32035706	0.41311139235024774
SRR32035707	0.7189584393090379
SRR32035708	0.49183407149033637
SRR32035710	0.8432808286323104
SRR32035712	0.7768194809487325
SRR32035716	0.8676635994030719
SRR32035718	0.7921560198472641
SRR32035721	0.7618379016209156
SRR32035722	0.8006839764658121
SRR32035724	0.7342882913962823
SRR32035725	0.791892912312302
SRR32035726	0.687930381995233
SRR32035727	0.6959700025353549
SRR32035728	0.7515153032487835
SRR32035729	0.4940970646348671
SRR32035732	0.8331044709027335
SRR32035733	0.638438696604892
SRR32035738	0.7933169412998266
SRR32035739	0.8036272799343677
SRR32035740	0.8124522296296395
SRR32035743	0.8024233110465728
SRR32035746	0.6667481591442668
SRR32035747	0.686975069107746
SRR32035748	0.7550030673280571
SRR32035749	0.47751208405611545
SRR32035751	0.6938480319929786
SRR32035752	0.6732416556036375
SRR32035753	0.6723791592431577
SRR32035754	0.46702587506106236
SRR32035755	0.7098222219373391
SRR32035756	0.7448385083635796
SRR32035757	0.6960934612111781
SRR32035758	0.8019331435274873
SRR32035759	0.7076377258827948
SRR32035760	0.7026177847108106
SRR32035762	0.5572344106061493
SRR32035763	0.5967573996268375
SRR32035764	0.801947680948031
SRR32035765	0.38738954408355286
SRR32035766	0.5612078871154776
SRR32035767	0.49351636395172666
SRR32035768	0.4280583813889667
SRR32035769	0.4003011121656794
SRR32035770	0.6216395262407808
SRR32035771	0.3843000292149831
SRR32035772	0.6484399449793505
SRR32035773	0.7908301773373265
SRR32035774	0.4352571397100207
SRR32035777	0.6981035125144318
SRR32035778	0.7716428800766196
SRR32035779	0.32892246856690005
SRR32035780	0.7397169870203991
SRR32035781	0.8102877486728158
SRR32035783	0.7634911117601224
SRR32035784	0.6126810954815239
SRR32035785	0.68170035331767
SRR32035787	0.7864839357209561
SRR32035788	0.7707360414952751
SRR32035790	0.7966223468790883
SRR32035791	0.5508119686704158
SRR32035793	0.79163625205943
SRR32035796	0.669626683543046
SRR32035797	0.7571756361117281
SRR32035798	0.7526874737512612
SRR32035799	0.6173224426335979
SRR32035800	0.4321254274787492
SRR32035801	0.6848335014424469
SRR32035802	0.756694582647567
SRR32035803	0.4096844259838651
SRR32035804	0.441006580995553
SRR32035805	0.7611466438398656
SRR32035806	0.7841005402964856
SRR32035807	0.6612821971599575
SRR32035808	0.7866679568159168
SRR32035809	0.8430768031776819
SRR32035810	0.4974305020509859
SRR32035812	0.7946214248582566
SRR32035813	0.39701160950751013
SRR32035815	0.6724151806597689
SRR32035816	0.7928487744702069
SRR32035817	0.6607648621083491
SRR32035819	0.3716052427247433
SRR32035820	0.6663477597969287
SRR32035821	0.78451738565149
SRR32035823	0.7738308051396113
SRR32035824	0.7920975155145266
SRR32035825	0.5459378127466084
SRR32035826	0.6931247839404935
SRR32035827	0.776842999118246
SRR32035828	0.6663202808353595
SRR32035830	0.7734442373227897
SRR32035832	0.3816284101590465
SRR32035833	0.7444286885331985
SRR32035834	0.7611640362266254
SRR32035835	0.6786116733819743
SRR32035836	0.7869928283015981
SRR32035837	0.8353179340667589
SRR32035840	0.8476561634084677
SRR32035841	0.7540751353750403
SRR32035842	0.4023063117935582
SRR32035844	0.7845406928342239
SRR32035845	0.4391349643960861
SRR32035846	0.701760687625447
SRR32035848	0.7618544608632424
SRR32035849	0.7558483644892289
SRR32035851	0.8083663969470827
SRR32035852	0.5703906453288041
SRR32035853	0.7648182050516048
SRR32035854	0.7701601923538475
