	shannon_entropy
SRR32035653	4.324014629847022
SRR32035654	4.945027805433183
SRR32035655	5.3977174968523345
SRR32035656	3.9095784741337627
SRR32035657	5.111204270454984
SRR32035658	3.519511404990049
SRR32035659	4.230732967304453
SRR32035660	5.036700028768836
SRR32035662	5.186075812355976
SRR32035663	5.423115489044698
SRR32035664	5.809606504998047
SRR32035665	5.6301525294701635
SRR32035666	3.5930811135343985
SRR32035667	1.9774986382442226
SRR32035668	4.79013741719041
SRR32035671	5.661500363511279
SRR32035672	6.005771270698488
SRR32035675	6.267230926137871
SRR32035676	4.471218348621674
SRR32035677	6.0735212811447
SRR32035680	4.957045187047187
SRR32035682	6.555508956252696
SRR32035683	3.3498028811127587
SRR32035684	6.059385439337569
SRR32035685	5.267935673358523
SRR32035686	4.299168619528183
SRR32035687	3.034067010770548
SRR32035689	5.154293210628895
SRR32035690	6.144970583809451
SRR32035692	6.179860747929679
SRR32035696	2.3112445545809184
SRR32035697	5.631876867794456
SRR32035698	3.140975109843151
SRR32035700	6.374564699823016
SRR32035703	4.348599976313817
SRR32035704	1.3321782470345886
SRR32035705	2.5881444586114477
SRR32035706	2.4301868608213777
SRR32035707	4.999778125964418
SRR32035708	2.803670475858559
SRR32035710	5.772670522554609
SRR32035712	4.643267487658485
SRR32035716	6.083386676673462
SRR32035718	5.934716530068917
SRR32035721	5.061541458289109
SRR32035722	5.481074194847298
SRR32035724	4.909819047525707
SRR32035725	5.2612226271048215
SRR32035726	4.509100812556293
SRR32035727	4.436836209197507
SRR32035728	4.925873828539615
SRR32035729	2.8565528640508107
SRR32035732	5.296504999043962
SRR32035733	4.3125815725939205
SRR32035738	5.015292659353482
SRR32035739	5.511260612955959
SRR32035740	4.892886157344743
SRR32035743	5.319550289192797
SRR32035746	3.9543082021882245
SRR32035747	3.896814791309398
SRR32035748	4.546906171414245
SRR32035749	2.7086516466975326
SRR32035751	5.092740479625155
SRR32035752	4.024153831703467
SRR32035753	4.064124636108524
SRR32035754	3.102852750809397
SRR32035755	5.117430206944369
SRR32035756	4.580568471305088
SRR32035757	4.530033295947463
SRR32035758	5.955367839405638
SRR32035759	5.278575226990712
SRR32035760	5.009161039942276
SRR32035762	3.626367110676978
SRR32035763	3.864441842940086
SRR32035764	5.45914249313426
SRR32035765	2.2293832457152427
SRR32035766	3.712227335497847
SRR32035767	3.728313221230198
SRR32035768	2.7061543075549177
SRR32035769	2.558851773654387
SRR32035770	4.358455989427761
SRR32035771	2.1689340986155896
SRR32035772	4.05140577305233
SRR32035773	5.362903904834909
SRR32035774	2.8980340855669624
SRR32035777	4.687238379767
SRR32035778	5.170346601886166
SRR32035779	2.0359723739028386
SRR32035780	4.84854071652048
SRR32035781	6.261839267050618
SRR32035783	5.177507866924248
SRR32035784	3.9474696791621584
SRR32035785	4.259214393417683
SRR32035787	5.639030833958431
SRR32035788	5.78040153083513
SRR32035790	5.735419880104013
SRR32035791	3.5845711774706244
SRR32035793	5.691725766756622
SRR32035796	4.389127594737118
SRR32035797	3.944471165914483
SRR32035798	4.203731315663334
SRR32035799	3.501715467762566
SRR32035800	2.96350796916064
SRR32035801	3.5676081889848135
SRR32035802	5.447953060175182
SRR32035803	2.7507218208197846
SRR32035804	2.869980264095212
SRR32035805	5.683942901965628
SRR32035806	4.9137907124816165
SRR32035807	4.792925430946082
SRR32035808	4.884777992083045
SRR32035809	5.51301310594013
SRR32035810	3.2680465736545488
SRR32035812	5.61486586069708
SRR32035813	2.9582173162887972
SRR32035815	4.407405046851326
SRR32035816	5.323381330173665
SRR32035817	4.399512192288716
SRR32035819	2.300171257626186
SRR32035820	4.446155679034962
SRR32035821	5.53499173133227
SRR32035823	5.484497076841828
SRR32035824	6.01396635587083
SRR32035825	3.750791887780829
SRR32035826	4.844030563547193
SRR32035827	5.194361123142745
SRR32035828	5.893929414871636
SRR32035830	5.439960489192699
SRR32035832	2.5409626626652755
SRR32035833	5.94700606447905
SRR32035834	5.516861760410729
SRR32035835	4.956430875535512
SRR32035836	5.831137528823236
SRR32035837	5.170471462759344
SRR32035840	6.0691090678318265
SRR32035841	4.319282392192207
SRR32035842	2.636952466241604
SRR32035844	5.130236184219715
SRR32035845	2.8145876605414273
SRR32035846	3.960636400595446
SRR32035848	5.53623374216938
SRR32035849	5.541061532529417
SRR32035851	5.630905944102904
SRR32035852	3.4223438719728243
SRR32035853	5.345073277808725
SRR32035854	5.52968016584904
SRR32035856	4.493026083934922
SRR32035859	5.0041413078364965
SRR32035862	5.418939422343101
SRR32035863	3.579110060478806
SRR32035866	5.626039439965024
SRR32035867	2.996109431235038
SRR32035868	5.829920816975924
SRR32035869	5.455458561318235
SRR32035871	4.563571019334712
SRR32035872	5.514376839744952
SRR32035873	2.3321491543873716
SRR32035876	5.669247863525915
SRR32035877	2.670714248631558
SRR32035881	2.020743232208862
SRR32035882	4.728795309642218
SRR32035883	5.660386629795367
SRR32035884	2.1245680570219516
SRR32035885	6.6082855417704796
SRR32035886	6.109665048524099
SRR32035887	2.50103681887231
SRR32035888	2.0668186123740755
SRR32035889	6.093989501571596
SRR32035890	5.659458614659199
SRR32035891	2.4918009225629585
SRR32035892	5.491226639212321
SRR32035894	2.182427470011031
SRR32035895	5.638699658703543
SRR32035897	5.192256212400661
SRR32035899	1.8408308560203035
SRR32035900	4.454303376532827
SRR32035901	5.296877955234398
SRR32035902	2.9613611632394807
SRR32035904	6.705643766765758
SRR32035905	4.791628420001935
SRR32035906	3.346082681829993
SRR32035907	3.5450521029370097
SRR32035908	3.375264140095984
SRR32035909	2.250828369003511
SRR32035910	4.892215960170439
SRR32035911	5.485255555844894
